resume_text,category
"Experienced Data Science with 13 years in the industry. Proficient in Python, PyTorch, SQL, NumPy, Data Visualization, Deep Learning. Projects: Architected a Image Recognition App using NLP, Python, Scikit-learn and deployed on GCP. Implemented Fraud Detection System which improved efficiency by 10%.",Data Science
"Experienced Frontend Developer with 12 years in the industry. Proficient in JavaScript, Redux, HTML5, Web Design, Next.js, Tailwind CSS. Projects: Implemented Portfolio Website which improved efficiency by 48%.",Frontend Developer
"Results-driven Full Stack Developer professional with expertise in MongoDB, Express, Node.js, Docker, REST API, SQL. Worked on several high-impact projects. Projects: Implemented Real-time Chat App which improved efficiency by 18%. Implemented SaaS Application which improved efficiency by 44%.",Full Stack Developer
"Experienced Frontend Developer with 4 years in the industry. Proficient in Bootstrap, Next.js, Web Design, CSS3, Tailwind CSS, TypeScript. Projects: Implemented E-learning Platform which improved efficiency by 12%. Developed a Dashboard UI using React, Web Design, Next.js. Architected a Dashboard UI using HTML5, React, Bootstrap and deployed on AWS.",Frontend Developer
"Results-driven DevOps professional with expertise in Docker, Ansible, Jenkins, Linux, Scripting, Terraform. Worked on several high-impact projects. Projects: Developed a Infrastructure as Code with Terraform using Docker, Scripting, AWS. Architected a Monitoring Dashboard using Linux, Jenkins, Monitoring and deployed on Azure. Implemented Kubernetes Deployment Pipeline which improved efficiency by 20%.",DevOps
"DevOps lead with 9 years of experience. Skilled at Kubernetes, Docker, Azure, Ansible, CI/CD, Monitoring and team management. Projects: Architected a Monitoring Dashboard using Docker, Scripting, Linux and deployed on Azure.",DevOps
"Experienced Java Developer with 3 years in the industry. Proficient in Java, REST API, JUnit, Maven, SQL, Spring Boot. Projects: Developed a E-commerce Backend using Multithreading, REST API, Java. Implemented E-commerce Backend which improved efficiency by 32%.",Java Developer
"Junior Full Stack Developer with a solid foundation in Java, Spring Boot, JavaScript, SQL, Docker, REST API. Eager to contribute to innovative projects. Projects: Implemented Real-time Chat App which improved efficiency by 47%. Led the team in creating Healthcare Portal with focus on Docker, Node.js, Express. Architected a SaaS Application using React, SQL, MongoDB and deployed on AWS.",Full Stack Developer
"Tester lead with 10 years of experience. Skilled at API Testing, Python, Selenium, Java, Manual Testing, Bug Tracking and team management. Projects: Developed a Security Testing Framework using Python, API Testing, Automation Testing. Led the team in creating Security Testing Framework with focus on Java, Bug Tracking, Selenium. Implemented Mobile App Automation which improved efficiency by 38%.",Tester
"Certified HR expert with a strong background in Strategic HR, Payroll, HR Policies, Employee Relations, Onboarding, Training. Passionate about building scalable solutions. Projects: Implemented Employee Engagement Portal which improved efficiency by 35%. Led the team in creating Payroll Automation with focus on Employee Relations, HR Policies, Strategic HR. Led the team in creating Employee Engagement Portal with focus on Payroll, Employee Relations, HR Policies.",HR
"Certified Java Developer expert with a strong background in JVM, SQL, Hibernate, Maven, JUnit, Multithreading. Passionate about building scalable solutions. Projects: Implemented Inventory Management System which improved efficiency by 16%. Developed a Inventory Management System using SQL, Java, Microservices. Architected a Inventory Management System using REST API, Multithreading, JVM and deployed on AWS.",Java Developer
"Experienced DevOps with 11 years in the industry. Proficient in Scripting, Kubernetes, Ansible, Linux, Azure, Docker. Projects: Developed a Monitoring Dashboard using Terraform, Scripting, Jenkins.",DevOps
"Certified Java Developer expert with a strong background in REST API, Multithreading, Java, Spring Boot, Maven, SQL. Passionate about building scalable solutions. Projects: Developed a Banking Microservices using JVM, Multithreading, Microservices. Developed a E-commerce Backend using JUnit, SQL, REST API. Implemented E-commerce Backend which improved efficiency by 28%.",Java Developer
"Certified Java Developer expert with a strong background in Maven, Microservices, JUnit, Spring Boot, Multithreading, Hibernate. Passionate about building scalable solutions. Projects: Architected a Banking Microservices using Java, JVM, Microservices and deployed on AWS.",Java Developer
"Certified Java Developer expert with a strong background in JVM, Maven, Multithreading, Java, REST API, SQL. Passionate about building scalable solutions. Projects: Developed a Banking Microservices using Hibernate, Java, REST API. Architected a Inventory Management System using Java, Maven, JVM and deployed on GCP.",Java Developer
"Experienced Frontend Developer with 13 years in the industry. Proficient in Web Design, CSS3, Bootstrap, Tailwind CSS, Redux, React. Projects: Implemented E-learning Platform which improved efficiency by 35%. Developed a Portfolio Website using Web Design, Bootstrap, CSS3.",Frontend Developer
"Experienced HR with 6 years in the industry. Proficient in Onboarding, Training, Strategic HR, Payroll, Talent Acquisition, Recruitment. Projects: Developed a Employee Engagement Portal using Onboarding, Talent Acquisition, Strategic HR. Developed a Employee Engagement Portal using Payroll, Onboarding, Recruitment. Developed a Performance Review System using Strategic HR, HR Policies, Employee Relations.",HR
